mixtral,te,1,8,155.0768310546875
qwen2,te,1,8,170.7303955078125
phi,te,1,8,193.518017578125
mixtral,tutel,1,8,129.61044921875
qwen2,tutel,1,8,104.72952880859376
phi,tutel,1,8,128.1791748046875
mixtral,fastermoe,1,8,163.63814697265624
qwen2,fastermoe,1,8,175.46170654296876
phi,fastermoe,1,8,157.57962646484376
mixtral,flux,1,8,82.6531005859375
qwen2,flux,1,8,62.84615478515625
phi,flux,1,8,83.6539306640625
mixtral,skip,1,8,57.86666259765625
qwen2,skip,1,8,43.12160949707031
phi,skip,1,8,56.60636596679687
mixtral,te,2,4,153.34002685546875
qwen2,te,2,4,172.6568359375
phi,te,2,4,181.56226806640626
mixtral,tutel,2,4,144.3468505859375
qwen2,tutel,2,4,110.82581787109375
phi,tutel,2,4,137.05606689453126
mixtral,fastermoe,2,4,145.9514892578125
qwen2,fastermoe,2,4,205.4798828125
phi,fastermoe,2,4,155.82554931640624
mixtral,flux,2,4,82.40802612304688
qwen2,flux,2,4,63.39951171875
phi,flux,2,4,83.43357543945312
mixtral,skip,2,4,58.28516845703125
qwen2,skip,2,4,44.13404541015625
phi,skip,2,4,57.581695556640625
mixtral,default,4,2,175.2213623046875
qwen2,default,4,2,116.0671630859375
phi,default,4,2,148.0533447265625
mixtral,te,4,2,178.63839111328124
qwen2,te,4,2,129.785302734375
phi,te,4,2,156.90709228515624
mixtral,tutel,4,2,171.540966796875
qwen2,tutel,4,2,123.4137451171875
phi,tutel,4,2,147.77803955078124
mixtral,fastermoe,4,2,177.72056884765624
qwen2,fastermoe,4,2,213.372802734375
phi,fastermoe,4,2,172.7678955078125
mixtral,flux,4,2,101.61852416992187
qwen2,flux,4,2,63.798101806640624
phi,flux,4,2,85.491552734375
mixtral,skip,4,2,57.01087646484375
qwen2,skip,4,2,42.70253295898438
phi,skip,4,2,56.589990234375
mixtral,default,8,1,265.989306640625
qwen2,default,8,1,115.72042236328124
phi,default,8,1,199.87462158203124
mixtral,te,8,1,266.42431640625
qwen2,te,8,1,121.8987060546875
phi,te,8,1,204.45914306640626
mixtral,tutel,8,1,216.3873291015625
qwen2,tutel,8,1,144.634228515625
phi,tutel,8,1,175.94403076171875
mixtral,fastermoe,8,1,233.4041015625
qwen2,fastermoe,8,1,254.14140625
phi,fastermoe,8,1,191.07252197265626
mixtral,flux,8,1,171.20218505859376
qwen2,flux,8,1,73.44288940429688
phi,flux,8,1,108.32120361328126
mixtral,skip,8,1,45.16194152832031
qwen2,skip,8,1,35.319281005859374
phi,skip,8,1,47.90296325683594

qwen2,default,4,2,113.94478759765624
qwen2,te,4,2,131.36539306640626
qwen2,tutel,4,2,123.82548828125
qwen2,fastermoe,4,2,210.314013671875
qwen2,flux,4,2,76.60957641601563
qwen2,skip,4,2,41.371945190429685
qwen2,default,4,2,144.502783203125
qwen2,te,4,2,150.80841064453125
qwen2,tutel,4,2,172.738232421875
qwen2,fastermoe,4,2,225.4202392578125
qwen2,flux,4,2,122.01915283203125
qwen2,skip,4,2,41.264501953125

qwen2,default,8,1,140.5844482421875
qwen2,te,8,1,146.57493896484374
qwen2,tutel,8,1,149.84046630859376
qwen2,fastermoe,8,1,242.121923828125
qwen2,flux,8,1,99.36787719726563
qwen2,skip,8,1,34.273684692382815
qwen2,default,4,2,112.89866943359375
qwen2,te,4,2,132.411572265625
qwen2,tutel,4,2,122.2642578125
qwen2,fastermoe,4,2,206.5003173828125
qwen2,flux,4,2,76.74431762695312
qwen2,skip,4,2,42.18885498046875
qwen2,default,2,4,113.2514892578125
qwen2,te,2,4,168.7850341796875
qwen2,tutel,2,4,109.56865234375
qwen2,fastermoe,2,4,199.43670654296875
qwen2,flux,2,4,68.05543823242188
qwen2,skip,2,4,41.960592651367186
qwen2,default,1,8,125.3349853515625
qwen2,te,1,8,170.50367431640626
qwen2,tutel,1,8,104.57083740234376
qwen2,fastermoe,1,8,193.35562744140626
qwen2,flux,1,8,67.7310791015625
qwen2,skip,1,8,40.848324584960935
qwen2,default,8,1,100.86445922851563
qwen2,te,8,1,111.93966064453124
qwen2,tutel,8,1,118.4653564453125
qwen2,fastermoe,8,1,227.3682861328125
qwen2,flux,8,1,62.33522338867188
qwen2,skip,8,1,33.03084106445313
qwen2,default,4,2,104.7777099609375
qwen2,te,4,2,123.608056640625
qwen2,tutel,4,2,108.996630859375
qwen2,fastermoe,4,2,197.451708984375
qwen2,flux,4,2,68.63182373046875
qwen2,skip,4,2,42.21394653320313
qwen2,default,2,4,110.87381591796876
qwen2,te,2,4,159.3018310546875
qwen2,tutel,2,4,107.61505126953125
qwen2,fastermoe,2,4,190.0873046875
qwen2,flux,2,4,67.44197387695313
qwen2,skip,2,4,42.40070495605469
qwen2,default,1,8,117.04775390625
qwen2,te,1,8,163.0737548828125
qwen2,tutel,1,8,103.804833984375
qwen2,fastermoe,1,8,188.49730224609374
qwen2,flux,1,8,66.54884643554688
qwen2,skip,1,8,41.66576232910156

qwen2,default,8,1,844.34033203125
phi,default,8,1,2446.03046875
qwen2,te,8,1,844.810546875
phi,te,8,1,2447.58125
mixtral,tutel,8,1,2244.4564453125
qwen2,tutel,8,1,754.640234375
phi,tutel,8,1,1644.415625
mixtral,fastermoe,8,1,2203.5712890625
qwen2,fastermoe,8,1,825.6076171875
phi,fastermoe,8,1,1596.884375
mixtral,flux,8,1,2405.5076171875
qwen2,flux,8,1,797.392236328125
phi,flux,8,1,2164.3224609375
mixtral,skip,8,1,429.80224609375
qwen2,skip,8,1,137.15667724609375
phi,skip,8,1,429.644677734375
mixtral,default,1,8,665.74765625
qwen2,default,1,8,259.264453125
phi,default,1,8,594.37744140625
mixtral,te,1,8,668.18310546875
qwen2,te,1,8,292.767724609375
phi,te,1,8,594.651171875
mixtral,tutel,1,8,483.980029296875
qwen2,tutel,1,8,181.386083984375
phi,tutel,1,8,402.0986328125
mixtral,fastermoe,1,8,494.126953125
qwen2,fastermoe,1,8,253.8788330078125
phi,fastermoe,1,8,439.546923828125
mixtral,flux,1,8,467.74423828125
qwen2,flux,1,8,178.09976806640626
phi,flux,1,8,456.20927734375
mixtral,skip,1,8,237.085009765625
qwen2,skip,1,8,89.336376953125
phi,skip,1,8,237.129345703125

mixtral,default,2,4,1016.150390625
qwen2,default,2,4,339.5578369140625
phi,default,2,4,862.31005859375
mixtral,te,2,4,1017.7951171875
qwen2,te,2,4,345.253662109375
phi,te,2,4,863.794140625
mixtral,tutel,2,4,737.24287109375
qwen2,tutel,2,4,252.3830322265625
phi,tutel,2,4,563.929150390625
mixtral,fastermoe,2,4,741.362158203125
qwen2,fastermoe,2,4,334.27265625
phi,fastermoe,2,4,598.217041015625
mixtral,flux,2,4,752.843017578125
qwen2,flux,2,4,270.2271484375
phi,flux,2,4,703.0662109375
mixtral,skip,2,4,265.982958984375
qwen2,skip,2,4,97.70646362304687
phi,skip,2,4,266.066357421875
